,title,artist,full,reff,emotion
203,melukis senja,budi doremi,aku mengerti. perjalanan hidup yang kini kau lalui. aku berharap. meski berat kau tidak merasa sendiri. kau telah berjuang. menaklukkan hari harimu yang tidak mudah. biar aku menemanimu. membasuh lelahmu. izinkan kulukis senja. mengukir namamu di sana. mendengar kamu bercerita. menangis tertawa. biar kulukis malam. bawa kamu bintang bintang. untuk temanimu yang terluka. hingga kau bahagia. aku di sini. walau letih coba lagi jangan berhenti. aku berharap. meski berat kau tidak merasa sendiri. kau telah berjuang. menaklukkan hari harimu yang tidak indah. biar aku menemanimu. membasuh lelahmu. izinkan kulukis senja. mengukir namamu di sana. mendengar kamu bercerita. menangis tertawa. biar kulukis malam. bawa kamu bintang bintang. untuk temanimu yang terluka. hingga kau bahagia ha ha. ha ah ha ha. izinkan kulukis senja. mengukir namamu di sana. mendengar kamu bercerita. menangis tertawa. biar kulukis malam. bawa kamu bintang bintang. untuk temanimu yang terluka. hingga kau bahagia. untuk temanimu yang terluka. hingga kau bahagia,izinkan kulukis senja. mengukir namamu di sana. mendengar kamu bercerita. menangis tertawa. biar kulukis malam. bawa kamu bintang bintang. untuk temanimu yang terluka. hingga kau bahagia,bahagia
204, kulakukan semua untukmu,ran,hanya denganmu aku berbagi. hanya dirimu paling mengerti. kegelisahan dalam hatiku. yang selama ini tidak menentu. tidak ada ragu dalam hatiku. pastikan aku jadi cintamu. seiring waktu yang tlah berlalu. mungkin kau yang terakhir untukku. akan kulakukan semua untukmu. akan kuberikan seluruh cintaku. janganlah engkau berubah. dalam menyayangi dan memahamiku. pegang tanganku genggam jariku. rasakan semua hangat diriku. mengalir tulus untuk cintamu. tidak ada yang lain di hatiku. akan kulakukan semua untukmu. akan kuberikan seluruh cintaku. janganlah engkau berubah. dalam menyayangi dan memahamiku. akan kulakukan semua untukmu. akan kuberikan seluruh cintaku. janganlah engkau berubah. dalam menyayangi dan memahamiku,akan kulakukan semua untukmu. akan kuberikan seluruh cintaku. janganlah engkau berubah. dalam menyayangi dan memahamiku,bahagia
205,heavy rotation,jkt,satu.dua.tiga.empat . aku menginginkanmu aku menginginkanmu . aku membutuhkanmu aku membutuhkanmu . aku sayang kamu aku cinta kamu . di benakku. musik keras berbunyi irama. rotasi berat. seperti popcorn yang meletup letup. kata kata suka menari menari. wajahmu suaramu selalu kuingat. membuatku menjadi tergila gila. oh senangnya memiliki perasaan ini. saya sangat merasa beruntung. aku menginginkanmu aku menginginkanmu . aku membutuhkanmu aku membutuhkanmu . aku sayang kamu aku cinta kamu . bertemu denganmu. semakin dekat jarak di antara kita. tegangan tinggi maksimum. aku menginginkanmu aku menginginkanmu . aku membutuhkanmu aku membutuhkanmu . aku sayang kamu aku cinta kamu . di lubuk hatiku. rasa sayang yang terus menerus meluap. rotasi berat. dalam kehidupan setiap manusia. berapa kali bisa merasakan cinta. jika ada satu cinta tidak terlupa. aku akan merasa sangat bahagia. mungkin seperti perasaan sekuntum. bunga saat dia akan mekar. aku merasakanmu aku merasakanmu . aku menyentuhmu aku menyentuhmu . aku memelukmu aku memelukmu . di dalam mimpiku. angan anganku menjadi semakin besar. oh itu imajinasiku. aku merasakanmu aku merasakanmu . aku menyentuhmu aku menyentuhmu . aku memelukmu aku memelukmu . perasaan ini. aku sangat ingin mengutarakannya. rotasi berat. yang selalu kudengarkan lagu favorit. seperti lagu yang kusuka. kuulang terus tanpa henti dua puluh empat jam sehari. Oh sayang.satu satunya permintaan adalah kamu. aku menginginkanmu aku menginginkanmu . aku membutuhkanmu aku membutuhkanmu . aku sayang kamu aku cinta kamu . bertemu denganmu. semakin dekat jarak di antara kita. tegangan tinggi maksimum. aku menginginkanmu aku menginginkanmu . aku membutuhkanmu aku membutuhkanmu . aku sayang kamu aku cinta kamu . di lubuk hatiku. rasa sayang yang terus menerus meluap. rotasi berat. rotasi berat,aku menginginkanmu aku menginginkanmu . aku membutuhkanmu aku membutuhkanmu . aku sayang kamu aku cinta kamu . bertemu denganmu. semakin dekat jarak di antara kita. tegangan tinggi maksimum. aku menginginkanmu aku menginginkanmu . aku membutuhkanmu aku membutuhkanmu . aku sayang kamu aku cinta kamu . di lubuk hatiku. rasa sayang yang terus menerus meluap. rotasi berat,bahagia
206,kamu,coboy junior,kamu buat aku tersipu. buat aku malu malu. saat bersamamu. saat kusapa dirimu. aku kok merinding buluku . kok jadi gugup aku . saat bersamamu. saat kau senyum padaku. mungkin inilah rasanya. rasa suka pada dirinya. sejak pertama aku bertanya. facebook mu apa nomormu berapa . mungkin inilah rasanya. cinta pada pandang pertama. senyuman manismu itu buat aku. dag dig dug melulu. nanti aku follow twitter mu. akan kutunggu re tweet mu. agar aku tahu. sukakah kamu kepadaku . mungkin inilah rasanya. rasa suka pada dirinya. sejak pertama aku bertanya. facebook mu apa nomormu berapa . mungkin inilah rasanya. cinta pada pandang pertama. senyuman manismu itu buat aku. dag dig dug melulu. yeah cuma kamu cuma kamu yang bisa membuatku. tidur tidak tentu memikirkanmu pujaan hati oh kamu cantik sekali. tuhan aku hanya ingin dia tahu. kamu lucu kamu sangat lucu. mungkin inilah rasanya inilah rasanya . rasa suka pada dirinya. sejak pertama sejak aku bertanya aku bertanya. facebook mu apa nomormu berapa nomormu berapa . mungkin inilah rasanya. cinta pada pandang pertama. senyuman manismu itu buat aku. dag dig dug melulu. mungkin inilah rasanya inilah rasanya oh . rasa suka pada dirinya. sejak pertama sejak pertama aku bertanya. aku melihat senyumanmu lirikanmu facebook mu apa . begitu cantiknya kamu nomormu berapa . mungkin oh mungkinkah ini inilah rasanya. yang kurasa oh cinta pada pandang pertama. senyuman manismu senyumanmu itu buat aku membuatku . dag dig dug melulu. kamu kamu kamu kamu kamu. kamu kamu kamu. kamu kamu kamu kamu kamu. kamu kamu kamu,mungkin inilah rasanya inilah rasanya . rasa suka pada dirinya. sejak pertama sejak aku bertanya aku bertanya. facebook mu apa nomormu berapa nomormu berapa . mungkin inilah rasanya. cinta pada pandang pertama. senyuman manismu itu buat aku. dag dig dug melulu,bahagia
207,status palsu,vidi aldiano,separuh hati denganmu. kujalani cintaku. berusaha untuk jadi kekasih. aku menipu dirimu. aku bilang cinta padamu. tapi dariku itu yang terbaik. kau bukan pilihan. kar nya aku tidak sedikitpun. hasratku padamu. terpaksa aku mencintai dirimu. hanya untuk status palsu. setengah hati kujalani cinta. kar nya aku tidak suka denganmu. kuberikan cintaku. meski tidak sih tulus hatiku. kuharap engkau tidak pernah tau. rasa cintaku padamu. hanya di bibir saja. tidak sedikitpun hati bicara. sih moga selama ini. kau tidak tau bahwa sesungguhnya. aku tidak mencinta. terpaksa aku mencintai dirimu. hanya untuk status palsu. setengah hati kujalani cinta. kar nya aku tidak suka denganmu. jika aku bisa menjadi lelaki . pujaan yang selalu engkau impikan . terpaksa aku mencintai dirimu. hanya untuk status palsu. setengah hati kujalani cinta. kar nya aku tidak suka denganmu. terpaksa aku mencintai dirimu. hanya untuk status palsu. setengah hati kujalani cinta. kar nya aku tidak suka denganmu,terpaksa aku mencintai dirimu. hanya untuk status palsu. setengah hati kujalani cinta. kar nya aku tidak suka denganmu,sedih
208,bentuk cinta,eclat,aku tidak tau apa yang lain. darimu hari ini. apa itu karena sepatu flatmu . atau kukumu. yang baru kau warnai . pernahkah kau bertanya. seperti apa bentuk air tanpa wadah . pernahkah kau mengira. seperti apa bentuk cinta . rambut warna warni bagai gulali. imut lucu walau tidak terlalu tinggi. pipi chubby dan kulit putih. senyum manis gigi kelinci. membuatku tersadar. bentuk cinta itu. ya kamu. kini akutau apa yang lain. darimu hari ini. itu bukan karena sepatu flatmu. atau kukumu yang baru kau warnai. pernahkah kau bertanya. seperti apa bentuk air tanpa wadah . pernahkah kau mengira. seperti apa bentuk cinta . rambut warna warni bagai gulali. imut lucu walau tidak terlalu tinggi. pipi chubby dan kulit putih. senyum manis gigi kelinci. membuatku tersadar. bentuk cinta itu. ya kamu. pernahkah kau bertanya. seperti apa bentuk air tanpa wadah . pernahkah kau mengira. seperti apa bentuk cinta . rambut warna warni bagai gulali. imut lucu walau tidak terlalu tinggi. pipi chubby dan kulit putih. senyum manis gigi kelinci. rambut warna warni bagai gulali. imut lucu walau tidak terlalu tinggi. pipi chubby dan kulit putih. senyum manis gigi kelinci. membuatku tersadar. bentuk cinta itu. ya kamu. cuma dirimu. untukku bentuk cinta itu kamu. ya kamu,rambut warna warni bagai gulali. imut lucu walau tidak terlalu tinggi. pipi chubby dan kulit putih. senyum manis gigi kelinci. membuatku tersadar. bentuk cinta itu. ya kamu,bahagia
209,hujan,utopia,rinai hujan basahi aku. temani sepi yang mengendap. kala aku mengingatmu. dan semua saat manis itu. segalanya seperti mimpi. kujalani hidup sendiri. andai waktu berganti. aku tetap takkan berubah. aku selalu bahagia. saat hujan turun. karena aku dapat mengenangmu. untukku sendiri. o o ow. selalu ada cerita. tersimpan di hatiku. tentang kau dan hujan. tentang cinta kita. yang mengalir seperti air. aku selalu bahagia. saat hujan turun. karena aku dapat mengenangmu. untukku sendiri. o o ow. aku bisa tersenyum sepanjang hari. karena hujan pernah menahanmu di sini. untukku. aku selalu bahagia. saat hujan turun. karena aku dapat mengenangmu. untukku sendiri. o o o o ow. aku bisa tersenyum sepanjang hari. karena hujan pernah menahanmu di sini. untukku,aku selalu bahagia. saat hujan turun. karena aku dapat mengenangmu. untukku sendiri,sedih
210,rumah,fiersa besari,ratapan mu mengiringi. kepergian kali ini. sungguh aku benci tinggalkan. tempat kita rajut mimpi. bersabarlah sejenak. kita hanya berjarak. namun bukan berpisah. bentangan kilometer. untuk mu kan aku tempuh. engkau adalah rumah. tempat yang paling indah. di pelukan mu sayang. aku akan pulang. sekantong rindu bekal ku. menemani perjalanan. di kejauhan masihkah. aku hiasi benak mu. jika lelah ingat lah. kita hanya berjarak. namun bukan berpisah. bentangan kilometer. untuk mu kan aku tempuh. engkau adalah rumah. tempat yang paling indah. di pelukan mu sayang. aku akan pulang. jari aku kan pulang pada genggaman mu. bibir aku kan pulang pada kening mu. tubuh aku kan pulang pada dekapan mu. sejauh apa pun kita hati aku di sebelah mu. jari aku kan pulang pada genggaman mu. bibir aku kan pulang pada kening mu. tubuh aku kan pulang pada dekapan mu. sejauh apa pun kita hati aku tertinggal di sebelahmu,kita hanya berjarak. namun bukan berpisah. bentangan kilometer. untuk mu kan aku tempuh. engkau adalah rumah. tempat yang paling indah. di pelukan mu sayang. aku akan pulang,bahagia
211,april,fiersa besari,coba tanya hatimu sekali lagi. sebelum engkau benar benar pergi. masih kah ada aku di dalamnya . karena hatiku masih menyimpanmu. kisah kita memang baru sebentar. namun kesan terukir sangat indah. aku memang bukan manusia sempurna. tapi tidak pernah berhenti mencoba. membuatmu tersenyum. walau tidak pernah berbalas. bahagiamu juga bahagiaku. saat kau terlalu rapuh. pundak siapa yang tersandar . tangan siapa yang tidak melepas . aku yakin aku. bahkan saat kau memilih. untuk meninggalkan aku. tidak pernah lelah menanti. karena aku yakin kau akan kembali. ada engkau dalam setiap doaku. sungguh aku rindu berbagi tawa. kini kita tidak lagi menyapa. biarlah hanya dari kejauhan. melihatmu tersenyum. walau tidak pernah berbalas. bahagiamu. juga bahagiaku. saat kau terlalu rapuh. pundak siapa yang tersandar . tangan siapa yang tidak melepas . aku yakin aku. bahkan saat kau memilih. untuk meninggalkan aku. tidak pernah lelah menanti. meskipun engkau. tidak akan kembali. masih berharaaaaap. karena kuyakin. kau akan kembali,saat kau terlalu rapuh. pundak siapa yang tersandar . tangan siapa yang tidak melepas . aku yakin aku. bahkan saat kau memilih. untuk meninggalkan aku. tidak pernah lelah menanti. karena aku yakin kau akan kembali,sedih
212,waktu yang salah,fiersa besari,jangan tanyakan perasaanku. jika kau pun tidak bisa beralih. dari masa lalu yang menghantuimu. karena sungguh ini tidak adil. bukan maksudku menyakitimu. namun tidak mudah untuk melupakan. cerita panjang yang pernah aku lalui. tolong yakinkan saja raguku. pergi saja engkau pergi dariku. biar kubunuh perasaan untukmu. meski berat melangkah. hatiku hanya tidak siap terluka. beri kisah kita sedikit waktu. semesta mengirim dirimu untukku. kita adalah rasa yang tepat. di waktu yang salah. hidup memang sebuah pilihan. tapi hati bukan untuk dipilih. bila hanya setengah dirimu hadir. dan setengah lagi untuk dia. pergi saja engkau pergi dariku. biar kubunuh perasaan untukmu. meski berat melangkah. hatiku hanya tidak siap terluka. beri kisah kita sedikit waktu. semesta mengirim dirimu untukku. kita adalah rasa yang tepat. di waktu yang salah. bukan ini yang kumau. lalu untuk apa kau datang . rindu tidak bisa diatur. kita tidak pernah mengerti. kau dan aku menyakitkan. pergi saja engkau pergi dariku. biar kubunuh perasaan untukmu. meski berat melangkah. hatiku hanya tidak siap terluka. beri kisah kita sedikit waktu. semesta mengirim dirimu untukku. kita adalah rasa yang tepat. di waktu yang salah. di waktu yang salah,pergi saja engkau pergi dariku. biar kubunuh perasaan untukmu. meski berat melangkah. hatiku hanya tidak siap terluka. beri kisah kita sedikit waktu. semesta mengirim dirimu untukku. kita adalah rasa yang tepat. di waktu yang salah,marah
213,bukan lagu valentine,fiersa besari,hei gadis bermata cokelat. di hatiku kau akrobat. jantungku berdegup cepat. setiap senyummu terlihat. kau bagai sebuah candu. membuatku selalu rindu. aku menggubah nada syahdu. maaf bila kurang merdu. begini liriknya. kau ingin diet. tapi kubilang aku saja yang menggemukkan badan. kau ingin putih. tapi kubilang aku saja yang menghitamkan kulit. kau ingin kayak. tapi kubilang bahagia tidak selalu tentang harta. kau ingin merayakan valentine tapi kubilang. sayang valentine untukmu. tiga ratus enam puluh lima hari. dalam setahunku. bukan tentang bunga dan coklat. tapi tentang siapa yang tidak pernah pergi. saat kau terluka. aku orangnya. tidak perlu repot berdandan. atau selfie agar kekinian. tidak usah pakai pensil alis. bagiku kau yang termanis. kau ingin diet. tapi kubilang aku saja yang menggemukkan badan. kau ingin putih. tapi kubilang aku saja yang menghitamkan kulit. kau ingin kayak. tapi kubilang bahagia tidak selalu tentang harta. kau ingin merayakan valentine tapi kubilang hu. sayang valentine untukmu. tiga ratus enam puluh lima hari. dalam setahunku. bukan tentang bunga dan coklat. tapi tentang siapa yang tidak pernah pergi. saat kau terluka. aku orangnya. sayang valentine untukmu. lapan ribu tujuh ratus enam puluh jam. dalam setahunku. bukan tentang perayaan. tapi tentang siapa yang tidak pernah pergi. saat kau terluka. menemanimu. suka dan duka. setiap hari. bukan hanya empat belas februari,sayang valentine untukmu. tiga ratus enam puluh lima hari. dalam setahunku. bukan tentang bunga dan coklat. tapi tentang siapa yang tidak pernah pergi. saat kau terluka. aku orangnya,bahagia
214,dan,sheila on 7,dan . dan bila esok datang kembali. seperti sedia kala. di mana kau bisa bercanda. dan . perlahan kau pun lupakan aku. mimpi burukmu. di mana telah kutancapkan duri tajam. kau pun menangis menangis sedih. maafkan aku. dan . bukan maksudku bukan inginku. melukaimu. sadarkah kau di sini aku pun terluka. melupakanmu menepikanmu. maafkan aku. lupakanlah saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala. caci maki saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala. dan . bukan maksudku bukan inginku. melukaimu. sadarkah kau di sini akupun terluka. melupakanmu menepikanmu. maafkan aku. lupakanlah saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala. caci maki saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala. lupakanlah saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala. caci maki saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala. wo ho wo ho wo oo,lupakanlah saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala. caci maki saja diriku. bila itu bisa membuatmu. kembali bersinar dan berpijar. seperti dulu kala,sedih
215,seberapa pantas,sheila on 7,seberapa pantaskah kau untuk aku tunggu. cukup indahkah dirimu untuk selalu aku nantikan. mampukan kau hadir dalam setiap mimpi burukku. mampukah kita bertahan di saat kita jauh. seberapa hebat kau untuk aku banggakan. cukup tangguhkah dirimu untuk selalu aku andalkan oh. mampukah kau bertahan dengan hidupku yang malang woho. sanggupkah kau menyakinkan di saat aku bimbang. celakanya. hanya kaulah yang benar benar aku tunggu. hanya kaulah yang benar benar memahamiku. kau pergi dan hilang ke mana pun kau suka. celakanya. hanya kaulah yang pantas untuk kubanggakan. hanya kaulah yang sanggup untuk aku andalkan. di antara pedih aku selalu menantimu. seberapa hebat kau untuk kubanggakan. cukup tangguhkah dirimu untuk selalu aku andalkan oh. mampukah kau bertahan dengan hidup aku yang malang oh. sanggupkah kau menyakinkan di saat aku bimbang. mungkin kini kau telah menghilang tanpa jejak. mengubur semua indah kenangan. tapi aku selalu menunggumu di sini. bila saja kau berubah pikiran oh hey hey. celakanya. hanya kaulah yang benar benar aku tunggu. hanya kaulah yang benar benar memahamiku. kau pergi dan hilang ke mana pun kau suka. celakanya. hanya kaulah yang pantas untuk kubanggakan. hanya kaulah yang sanggup untuk aku andalkan. di antara pedih aku selalu menantimu. oh oh oh oh,celakanya. hanya kaulah yang benar benar aku tunggu. hanya kaulah yang benar benar memahamiku. kau pergi dan hilang ke mana pun kau suka. celakanya. hanya kaulah yang pantas untuk kubanggakan. hanya kaulah yang sanggup untuk aku andalkan. di antara pedih aku selalu menantimu,takut
216,hitam putih,420,bagai langit dan bumi. yang tidak pernah sealam. bagai hitam dan putih. yang tidak pernah sewarna. hanya kita yang merasakannya. belajar melepaskan dirinya. walau setengahku bersamanya. aku yakin kita kan terbiasa. walau inti jiwa tidak terima. bagai air dan api. yang tidak pernah senyawa. bagai timur dan barat. yang tidak pernah searah. belajar melepaskan dirinya. walau setengahku bersamanya. kuyakin kita kan terbiasa. walau inti jiwa tidak terima. belajar melepaskan dirinya. walau setengahku bersamanya. aku yakin kita kan terbiasa. walau inti jiwa tidak terima. tidak terima tidak terima. tidak terima tidak terima. tidak terima tidak terima. tidak terima tidak terima. tidak terima tidak terima. tidak terima tidak terima. tidak terima tidak terima. tidak terima tidak terima,belajar melepaskan dirinya. walau setengahku bersamanya. kuyakin kita kan terbiasa. walau inti jiwa tidak terima,sedih
217,secukupnya,hindia,kapan terakhir kali kamu dapat tertidur tenang renggang . tidak perlu memikirkan tentang apa yang akan datang di esok hari. tubuh yang berpatah hati bergantung pada gaji. berlomba jadi asri mengais validasi. dan aku pun terhadir. seakan paling mahir. menenangkan dirimu. yang merasa terpinggirkan dunia. tidak pernah adil. kita semua gagal. angkat minumanmu. bersedih bersama sama. ah ah ah ah. sia sia pada akhirnya. putus asa terekam pedih semua. masalahnya lebih dari yang secukupnya. rekam gambar dirimu yang terabadikan bertahun silam. putra putri sakit hati ayah ibu sendiri. komitmen lama mati hubungan yang menyepi. wisata masa lalu. kau hanya merindu. mencari pelarian. dari pengabdian yang terbakar sirna. mengapur berdebu. kita semua gagal. ambil sedikit tisu. bersedihlah secukupnya. ah ah ah ah. secukupnya kan masih ada. penggantinya belum waktunya kau bisa. menjawabnya ah ah ah ah ah secukupnya. semua yang sirna kan kembali lagi. semua yang sirna kan nanti berganti,kita semua gagal. angkat minumanmu. bersedih bersama sama. ah ah ah ah. sia sia pada akhirnya. putus asa terekam pedih semua. masalahnya lebih dari yang secukupnya,sedih
218,seluruh nafas ini,last child,lihatlah luka ini yang sakitnya abadi. yang terbalut hangatnya bekas pelukmu. aku tidak akan lupa. tidak akan pernah bisa. tentang apa yang harus memisahkan kita. di saat aku tertatih. tanpa kau disini. kau tetap aku nanti. demi keyakinan ini. jika memang dirimulah tulang rusukku. kau akan kembali. pada tubuh ini. aku akan tua dan mati. dalam pelukmu. untukmu seluruh nafas ini. kita telah lewati. rasa yang pernah mati. bukan hal baru. bila kau tinggalkan aku. tanpa kita mencari. jalan untuk kembali. takdir cinta yang menuntunmu kembali padaku. di saat aku tertatih saat aku tertatih . tanpa kau disini tanpa kau di sini . kau tetap aku nanti. demi keyakinan ini. jika memang kau terlahir. hanya untukku. bawalah hatiku dan lekas kembali. aku nikmati rindu yang datang membunuhku. untukmu seluruh nafas ini. dan ini yang terakhir aku menyakitimu . ini yang terakhir aku meninggalkanmu . tidak kan aku siasiakan hidupmu lagi. ini yang terakhir. dan ini yang terakhir. tidak kan aku sia siakan hidupmu lagi. jika memang dirimulah tulang rusukku. kau akan kembali. pada tubuh ini. aku akan tua dan mati. dalam pelukmu. untukmu seluruh nafas ini. jika memang kau terlahir. hanya untukku. bawalah hatiku dan lekas kembali. aku nikmati rindu yang datang. membunuhku. untukmu seluruh nafas ini. untukmu seluruh nafas ini. untukmu seluruh nafas ini,jika memang dirimulah tulang rusukku. kau akan kembali. pada tubuh ini. aku akan tua dan mati. dalam pelukmu. untukmu seluruh nafas ini,takut
219,siapkah kau tuk jatuh cinta lagi,hivi,ketika aku mendengar bahwa. kini kau tidak lagi dengannya. dalam benakku timbul tanya. masihkah ada dia di hatimu bertahta . atau ini saat bagiku untuk singgah di hatimu . namun siapkah kau untuk jatuh cinta lagi . meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. kini aku tidak lagi dengannya. sudah tidak ada lagi rasa. antara aku dengan dia. siapkah kau bertahta di hatiku adinda . karena ini saat yang tepat untuk singgah di hatiku. namun siapkah kau untuk jatuh cinta lagi . meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. pikirlah saja dulu. hingga tiada ragu. agar mulus jalanku. melangkah menuju ke hatimu. pikirlah saja dulu. hingga tiada ragu. agar mulus jalanku. melangkah menuju ke hatimu. siapkah kau untuk jatuh cinta lagi . meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku. bila kau jatuh cinta katakanlah jangan buat sia sia. bila kau jatuh cinta katakanlah jangan buat sia sia. bila kau jatuh cinta katakanlah jangan buat sia sia. siapkah kau untuk jatuh cinta lagi,meski bibir ini tidak berkata. bukan berarti aku tidak merasa. ada yang berbeda di antara kita. dan tidak mungkin aku melewatkanmu hanya karena. diriku tidak mampu untuk bicara. bahwa aku inginkan kau ada di hidupku,bahagia
220,melawan hati,fiersa besari,harus berkata apa . sial kau racuni pikiran. kita dipisahkan keadaan. . aku menampar diri sendiri agar cepat. kembali ke bumi dan melupakan semua. kesendirian ini menyiksa diriku perlahan. kita dipisahkan kenyataan. . tidak seharusnya aku kehilanganmu. tidak seharusnya aku merindu. biarkan aku pergi melawan hati. terpuruk dan hancur tanpamu. . huuuu. huuuu. huuuu. huuuu. . mengapa bayangmu terus ada setiap aku memejamkan mata . semua kenanganmu membuat diriku tidak bisa berpikir jernih. tolong keluar dari kepala aku tidak mau menjadi gila. berpisah kita sakit namun bersama kita lebih terluka. . tidak seharusnya aku kehilanganmu. tidak seharusnya aku merindu. biarkan aku pergi melawan hati. terpuruk dan hancur tanpamu. . tanpamu. tanpamu,tak seharusnya aku kehilanganmu. tidak seharusnya aku merindu. biarkan aku pergi melawan hati. terpuruk dan hancur tanpamu,takut
221,jika surga dan neraka tak pernah ada,chrisye,apakah kita semua. benar benar tulus. menyembah pada nya. atau mungkin kita hanya. takut pada neraka. dan inginkan surga. jika surga dan neraka tidak pernah ada. masihkan kau bersujud kepada nya. jika surga dan neraka tidak pernah ada. masihkah kau menyebut nama nya. bisakah kita semua. benar benar sujud sepenuh hati. kar nya sungguh memang dia. memang pantas disembah. memang pantas dipuja. apakah kita semua. benar benar tulus. menyembah pada nya. atau mungkin kita hanya. takut pada neraka. dan inginkan surga. bisakah kita semua. benar benar sujud sepenuh hati. kar nya sungguh memang dia. memang pantas disembah. memang pantas dipuja. jika surga dan neraka tidak pernah ada. masihkan kau bersujud kepada nya. jika surga dan neraka tidak pernah ada. masihkah kau menyebut nama nya,jika surga dan neraka tidak pernah ada. masihkan kau bersujud kepada nya. jika surga dan neraka tidak pernah ada. masihkah kau menyebut nama nya,takut
222,untukku,chrisye,kemana langkahku pergi. selalu ada bayangmu. aku yakin makna nurani. kau takkan pernah terganti. saat lautan kau sebrangi. janganlah ragu bersauh. aku percaya hati kecilku. kau takkan berpaling. walau keujung dunia pasti akan kunanti. meski ke tujuh samudra pasti aku kan menunggu. karena aku yakin kau hanya untukku. pandanglah bintang berpijar. kau tidak pernah tersembunyi. dimana engkau berada. disana cintaku. walau keujung dunia pasti akan kunanti. meski ke tujuh samudra pastu aku kan menunggu. karena aku yakin kau hanya untukku. walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. karena aku yakin kau hanya untukku. karena aku yakin kau hanya untukku. hanya untukku,walau ke ujung dunia. pasti akan kunanti. meski ketujuh samudra. pasti aku kan menunggu. karena aku yakin . kau hanya untukku,bahagia
223,damai bersamamu,chrisye,aku termenung di bawah mentari. di antara megahnya alam ini. menikmati indahnya kasih mu. kurasakan damainya hatiku. sabda mu bagai air yang mengalir. basahi panas terik di hatiku. menerangi semua jalanku. kurasakan tenteramnya hatiku. jangan biarkan damai ini pergi. jangan biarkan semuanya berlalu. hanya pada mu tuhan. tempatku berteduh. dari semua kepalsuan dunia. bila aku jauh dari diri mu. akan kutempuh semua perjalanan. agar selalu ada dekat mu. biar kurasakan lembutnya kasih mu jangan biarkan damai ini pergi. jangan biarkan semuanya berlalu. hanya padamu tuhan tempatku berteduh. dari semua kepalsuan dunia. bila kujauh dari dirimu. akan kutempuh semua perjalanan. hanya padamu tuhan tempatku berteduh. dari semua kepalsuan dunia. dari semua kepalsuan dunia. dari semua kepalsuan. kepalsuan dunia,jangan biarkan damai ini pergi. jangan biarkan semuanya berlalu. hanya pada mu tuhan. tempatku berteduh. dari semua kepalsuan dunia. bila aku jauh dari diri mu. akan kutempuh semua perjalanan. agar selalu ada dekat mu. biar kurasakan lembutnya kasih mu,bahagia
224,selamat pagi,ran,kurasakan hangat indahnya sang mentari. membangunkanku dari tidur yang lelap ini. sinarmu yang terang mulai memasuki mata. dan mengusirku dari alam mimpi. dan kini kubergegas untuk segera siapkan diriku. untuk mulai menjalani hari ini. tidak sabar aku temui seluruh sahabat yang tersenyum. menyambut datangnya pagi ini. dan kukatakan selamat pagi . embun membasahi dunia dan mulai mengawali hari ini. dan kukatakan . selamat pagi . kicau burung bernyanyi dan kini aku siap untuk jalani hari ini kini bergegaslah sipakan dirimu untuk memulai menjalani hari ini,selamat pagi . embun membasahi dunia dan mulai mengawali hari ini. dan kukatakan . selamat pagi . kicau burung bernyanyi dan kini aku siap untuk jalani hari ini kini bergegaslah sipakan dirimu untuk memulai menjalani hari ini,bahagia
